Time_taken (min),Distance_km,Road_traffic_density,Delivery_person_Age,Delivery_person_Ratings,multiple_deliveries,Order_Hour
15,19.880040740546,3,28.0,4.5,0.0,20.0
31,20.831404268801418,3,33.0,3.7,1.0,21.0
28,9.192881349038213,3,31.0,4.9,1.0,22.0
28,4.464810553177668,3,32.0,4.8,1.0,20.0
21,12.256927745913815,0,28.0,4.9,1.0,23.0
18,9.081848162010717,0,38.0,4.8,0.0,22.0
19,1.4901739564930154,0,21.0,4.9,1.0,8.0
27,16.608214361065517,1,37.0,4.8,1.0,18.0
36,6.29013467763468,1,38.0,4.7,1.0,16.0
52,17.13802247711509,3,32.0,4.6,1.0,19.0
28,13.620429458669873,3,24.0,4.7,1.0,19.0
39,10.255192722113202,1,34.0,4.7,2.0,17.0
33,4.469606139374459,1,39.0,4.1,1.0,17.0
19,6.217860689144307,1,26.0,4.9,1.0,15.0
31,7.7626338661018774,3,25.0,4.0,1.0,20.0
29,1.5545440228107195,0,22.0,4.3,1.0,8.0
16,1.554619810773694,0,31.0,4.9,0.0,9.0
36,3.0737721530635387,2,37.0,4.1,1.0,11.0
19,9.074821802568852,3,36.0,4.7,1.0,19.0
36,16.610926485281333,1,35.0,4.6,1.0,18.0
37,10.725566076623075,3,28.0,4.2,1.0,21.0
28,13.96960642768458,0,20.0,5.0,1.0,22.0
24,3.0202827050890524,0,34.0,4.7,0.0,10.0
35,13.989532967705536,1,33.0,3.6,0.0,18.0
21,6.209485128886319,2,36.0,4.8,0.0,13.0
16,19.68777669417997,0,29.0,4.6,1.0,22.0
29,12.580267822400963,3,21.0,4.7,1.0,20.0
32,9.220373067021216,3,37.0,4.3,0.0,20.0
15,4.610035602260694,0,27.0,4.8,0.0,22.0
16,3.1051103947027285,0,20.0,4.8,1.0,10.0
32,9.220550607824233,0,34.0,4.1,1.0,22.0
31,9.088078142011637,3,37.0,4.7,0.0,19.0
29,17.07670421054038,3,35.0,4.6,1.0,20.0
22,1.5368588631561617,0,20.0,4.8,0.0,10.0
26,16.6594405791231,3,28.0,4.8,1.0,19.0
24,6.12841937845769,2,21.0,4.9,1.0,15.0
22,13.588908817419535,3,26.0,4.9,1.0,20.0
23,1.572533729286321,2,36.0,4.7,1.0,11.0
25,20.85172635753384,3,25.0,4.6,1.0,22.0
44,13.970556078644911,3,35.0,4.1,2.0,21.0
20,3.1048274856004796,0,32.0,4.3,1.0,8.0
30,3.073782598017619,2,22.0,4.7,1.0,11.0
24,10.906149360969733,1,27.0,4.8,1.0,18.0
33,6.08119089136717,1,36.0,5.0,0.0,15.0
25,6.050355980667948,2,39.0,4.7,0.0,12.0
14,4.527973054243058,1,27.0,4.6,1.0,18.0
51,10.486117701549256,3,31.0,4.6,1.0,21.0
12,13.789485363023294,3,20.0,4.9,1.0,21.0
32,12.117036432265502,3,23.0,4.1,1.0,19.0
24,17.164824725882017,1,33.0,4.8,1.0,18.0
21,13.407238587856966,0,37.0,4.9,1.0,22.0
29,4.717601092054723,1,31.0,5.0,0.0,17.0
23,3.01871690507141,0,27.0,4.6,1.0,9.0
19,7.790401360105752,0,29.0,4.8,1.0,23.0
27,16.385045825961104,1,21.0,4.8,0.0,18.0
32,4.494386184689828,3,35.0,4.3,1.0,20.0
27,20.182068898087746,3,26.0,4.7,1.0,21.0
42,11.937144739026929,3,30.0,4.6,1.0,20.0
19,4.560890658020926,0,21.0,4.7,0.0,22.0
10,4.537647566708254,0,24.0,4.6,1.0,22.0
20,1.5125686168842198,0,29.0,4.1,0.0,10.0
26,6.175413559946173,1,24.0,4.8,0.0,15.0
21,4.544230975252655,3,36.0,4.6,0.0,21.0
35,20.18093693173923,0,35.0,4.6,2.0,22.0
24,17.078029070273278,3,34.0,4.8,1.0,19.0
21,4.587794632025183,3,24.0,4.7,0.0,20.0
22,7.790439155314363,1,23.0,4.6,1.0,18.0
33,3.1045718665451782,2,36.0,4.9,1.0,11.0
11,1.5125746930783428,0,37.0,4.9,0.0,10.0
30,4.544228016639666,3,34.0,4.7,1.0,19.0
31,19.3626986679347,1,37.0,4.0,0.0,17.0
27,3.0644871057616707,2,21.0,4.6,0.0,11.0
48,13.989852322089257,3,31.0,4.3,2.0,20.0
20,7.7631971453288875,3,34.0,4.8,1.0,20.0
37,12.580267822400963,0,39.0,4.3,1.0,22.0
36,10.429850454296803,0,30.0,3.7,1.0,23.0
12,6.04999326769204,2,22.0,4.7,0.0,13.0
33,3.025144329113595,2,29.0,4.2,1.0,11.0
17,9.192770952683547,1,21.0,4.7,1.0,17.0
29,13.77113289483828,1,36.0,4.5,1.0,18.0
25,19.83950910656183,3,26.0,4.8,1.0,21.0
22,4.395412768889443,3,33.0,4.6,0.0,20.0
27,1.552697443893239,0,39.0,4.6,0.0,10.0
12,7.790401204068506,3,20.0,5.0,0.0,20.0
38,16.63651695459671,1,31.0,4.0,1.0,17.0
36,12.099354574706966,3,24.0,4.1,1.0,20.0
43,20.44292976252901,3,25.0,4.6,3.0,19.0
